,ema3,ema13,ema144,high,low,close,open,start,end,buy,sell,loss,balance,date
1496264400.0,,,,2375.642,2375.642,2375.642,2375.642,1496264400.0,1496266200.0,,,,,2017-06-01 02:00:00
1496266200.0,,,,2375.642,2375.642,2375.642,2375.642,1496266200.0,1496268000.0,,,,500.0,2017-06-01 02:30:00
1496268000.0,2375.642,,,2375.642,2375.642,2375.642,2375.642,1496268000.0,1496269800.0,,,,500.0,2017-06-01 03:00:00
1496269800.0,2375.642,,,2375.642,2375.642,2375.642,2375.642,1496269800.0,1496271600.0,,,,500.0,2017-06-01 03:30:00
1496271600.0,2375.642,,,2375.642,2375.642,2375.642,2375.642,1496271600.0,1496273400.0,,,,500.0,2017-06-01 04:00:00
1496273400.0,2375.642,,,2375.642,2375.642,2375.642,2375.642,1496273400.0,1496275200.0,,,,500.0,2017-06-01 04:30:00
1496275200.0,2375.642,,,2375.642,2375.642,2375.642,2375.642,1496275200.0,1496277000.0,,,,500.0,2017-06-01 05:00:00
1496277000.0,2375.642,,,2375.642,2375.642,2375.642,2375.642,1496277000.0,1496278800.0,,,,500.0,2017-06-01 05:30:00
1496278800.0,2375.642,,,2375.642,2375.642,2375.642,2375.642,1496278800.0,1496280600.0,,,,500.0,2017-06-01 06:00:00
1496280600.0,2375.642,,,2375.642,2375.642,2375.642,2375.642,1496280600.0,1496282400.0,,,,500.0,2017-06-01 06:30:00
1496282400.0,2375.642,,,2375.642,2375.642,2375.642,2375.642,1496282400.0,1496284200.0,,,,500.0,2017-06-01 07:00:00
1496284200.0,2375.642,,,2375.642,2375.642,2375.642,2375.642,1496284200.0,1496286000.0,,,,500.0,2017-06-01 07:30:00
1496286000.0,2375.642,2375.642,,2375.642,2375.642,2375.642,2375.642,1496286000.0,1496287800.0,,,,500.0,2017-06-01 08:00:00
1496287800.0,2375.642,2375.642,,2375.642,2375.642,2375.642,2375.642,1496287800.0,1496289600.0,,,,500.0,2017-06-01 08:30:00
1496289600.0,2375.642,2375.642,,2375.642,2375.642,2375.642,2375.642,1496289600.0,1496291400.0,,,,500.0,2017-06-01 09:00:00
1496291400.0,2375.642,2375.642,,2375.642,2375.642,2375.642,2375.642,1496291400.0,1496293200.0,,,,500.0,2017-06-01 09:30:00
1496293200.0,2375.642,2375.642,,2375.642,2375.642,2375.642,2375.642,1496293200.0,1496295000.0,,,,500.0,2017-06-01 10:00:00
1496295000.0,2375.642,2375.642,,2375.642,2375.642,2375.642,2375.642,1496295000.0,1496296800.0,,,,500.0,2017-06-01 10:30:00
1496296800.0,2375.642,2375.642,,2390.667,2375.642,2382.0,2375.642,1496296800.0,1496298600.0,,,,500.0,2017-06-01 11:00:00
1496298600.0,2379.275142857143,2376.6917992541503,,2390.0,2367.599,2372.012,2382.001,1496298600.0,1496300400.0,,,,500.0,2017-06-01 11:30:00
1496300400.0,2375.384285714286,2375.942461575953,,2383.999,2368.261,2375.383,2375.967,1496300400.0,1496302200.0,,,,500.0,2017-06-01 12:00:00
1496302200.0,2375.3651428571425,2375.8567737867183,,2395.0,2372.012,2385.791,2375.382,1496302200.0,1496304000.0,,,,500.0,2017-06-01 12:30:00
1496304000.0,2380.8488571428575,2377.5018408939995,,2422.55,2387.1,2418.0,2390.663,1496304000.0,1496305800.0,,,,500.0,2017-06-01 13:00:00
1496305800.0,2402.7092857142857,2384.2300777440214,,2424.0,2396.915,2423.999,2417.996,1496305800.0,1496307600.0,,,,500.0,2017-06-01 13:30:00
1496307600.0,2416.8267142857144,2390.9876609785115,,2435.727,2417.093,2429.0,2423.999,1496307600.0,1496309400.0,,,,500.0,2017-06-01 14:00:00
1496309400.0,2425.999714285714,2397.6056137875553,,2431.87,2414.96,2420.928,2429.986,1496309400.0,1496311200.0,,,,500.0,2017-06-01 14:30:00
1496311200.0,2423.673,2401.945338919064,,2428.825,2406.15,2417.864,2419.65,1496311200.0,1496313000.0,,,,500.0,2017-06-01 15:00:00
1496313000.0,2420.3302857142853,2405.1591918807717,,2418.537,2405.002,2405.002,2417.864,1496313000.0,1496314800.0,,,,500.0,2017-06-01 15:30:00
1496314800.0,2410.9519999999998,2405.7902177365004,,2409.1,2402.168,2409.098,2405.002,1496314800.0,1496316600.0,,,,500.0,2017-06-01 16:00:00
1496316600.0,2409.1800000000003,2407.0074068471667,,2429.996,2407.166,2425.0,2409.099,1496316600.0,1496318400.0,,,,500.0,2017-06-01 16:30:00
1496318400.0,2417.5997142857145,2410.6763657374336,,2448.355,2422.085,2436.46,2425.0,1496318400.0,1496320200.0,,,,500.0,2017-06-01 17:00:00
1496320200.0,2429.2768571428574,2415.7134020901467,,2456.11,2436.07,2440.0,2436.461,1496320200.0,1496322000.0,,,,500.0,2017-06-01 17:30:00
1496322000.0,2436.845714285714,2420.473854314474,,2452.99,2437.812,2444.994,2440.0,1496322000.0,1496323800.0,,,,500.0,2017-06-01 18:00:00
1496323800.0,2442.3480000000004,2425.601133207959,,2452.99,2441.397,2451.524,2444.995,1496323800.0,1496325600.0,,,,500.0,2017-06-01 18:30:00
1496325600.0,2448.012,2430.9991124497615,,2453.0,2417.743,2429.409,2451.524,1496325600.0,1496327400.0,,,,500.0,2017-06-01 19:00:00
1496327400.0,2437.954,2431.742783597857,,2442.019,2415.581,2419.0,2431.999,1496327400.0,1496329200.0,,,,500.0,2017-06-01 19:30:00
1496329200.0,2426.6202857142857,2429.944643496834,,2420.0,2380.006,2395.133,2419.001,1496329200.0,1496331000.0,,,,500.0,2017-06-01 20:00:00
1496331000.0,2406.8487142857143,2424.329064962591,,2415.0,2385.005,2399.799,2395.129,1496331000.0,1496332800.0,,,,500.0,2017-06-01 20:30:00
1496332800.0,2401.208857142857,2420.174827080614,,2409.926,2370.0,2370.1,2400.0,1496332800.0,1496334600.0,,,,500.0,2017-06-01 21:00:00
1496334600.0,2382.1615714285717,2411.889973307904,,2379.325,2339.967,2344.433,2379.139,1496334600.0,1496336400.0,,,,500.0,2017-06-01 21:30:00
1496336400.0,2359.6758571428572,2400.6188682543766,,2349.999,2301.006,2335.003,2347.997,1496336400.0,1496338200.0,,,,500.0,2017-06-01 22:00:00
1496338200.0,2342.7111428571434,2389.6871661400482,,2350.0,2322.001,2344.179,2335.003,1496338200.0,1496340000.0,,,,500.0,2017-06-01 22:30:00
1496340000.0,2341.593571428571,2381.7410612827316,,2362.057,2328.792,2358.049,2346.005,1496340000.0,1496341800.0,,,,500.0,2017-06-01 23:00:00
1496341800.0,2350.793857142857,2376.8663154801884,,2367.09,2346.736,2352.0,2352.109,1496341800.0,1496343600.0,,,,500.0,2017-06-01 23:30:00
1496343600.0,2352.6110000000003,2371.434111533263,,2369.996,2341.608,2365.0,2354.748,1496343600.0,1496345400.0,,,,500.0,2017-06-02 00:00:00
1496345400.0,2360.2927142857143,2368.8456360567548,,2380.0,2365.0,2373.0,2365.0,1496345400.0,1496347200.0,,,,500.0,2017-06-02 00:30:00
1496347200.0,2367.714285714286,2367.8367061468102,,2395.997,2371.811,2390.292,2373.0,1496347200.0,1496349000.0,,,,500.0,2017-06-02 01:00:00
1496349000.0,2381.738285714285,2369.681730611099,,2398.0,2371.001,2382.562,2390.291,1496349000.0,1496350800.0,,,,500.0,2017-06-02 01:30:00
1496350800.0,2383.404571428571,2370.4790693780137,,2390.675,2371.001,2387.491,2382.562,1496350800.0,1496352600.0,,,,500.0,2017-06-02 02:00:00
1496352600.0,2386.4828571428566,2372.2080318550147,,2396.731,2380.0,2380.002,2386.001,1496352600.0,1496354400.0,,,,500.0,2017-06-02 02:30:00
1496354400.0,2382.5074285714286,2372.9846767987074,,2393.78,2371.177,2372.499,2381.235,1496354400.0,1496356200.0,,,,500.0,2017-06-02 03:00:00
1496356200.0,2376.7844285714286,2372.3076631251724,,2391.992,2355.004,2373.36,2372.499,1496356200.0,1496358000.0,,,,500.0,2017-06-02 03:30:00
1496358000.0,2374.0628571428574,2372.5305565963868,,2390.677,2359.995,2387.238,2373.0,1496358000.0,1496359800.0,,,,500.0,2017-06-02 04:00:00
1496359800.0,2381.1672857142853,2375.5843546163737,,2399.99,2376.696,2399.981,2387.238,1496359800.0,1496361600.0,,,,500.0,2017-06-02 04:30:00
1496361600.0,2392.537142857143,2380.515841132853,,2403.949,2383.974,2385.355,2398.999,1496361600.0,1496363400.0,,,,500.0,2017-06-02 05:00:00
1496363400.0,2389.8028571428576,2382.123626660638,,2394.178,2380.099,2393.725,2385.357,1496363400.0,1496365200.0,,,,500.0,2017-06-02 05:30:00
